"kernel","tile_granularity","scalar","a_mode","x_mode","M","N","k","P","pr","pc","reps","t_bcast_mean_s","t_bcast_std_s","t_local_mean_s","t_local_std_s","t_reduce_mean_s","t_reduce_std_s","t_total_mean_s","t_total_median_s","t_total_min_s","t_total_std_s","t_total_cv_pct","t_official_mean_s","t_official_median_s","t_official_min_s","t_official_std_s","t_official_cv_pct","t_kernel_mean_s","t_kernel_median_s","t_kernel_min_s","t_kernel_std_s","t_kernel_cv_pct","t_transfer_runtime_overhead_mean_s","t_transfer_runtime_overhead_std_s","t_setup_s","gflops","gflops_compute","gflops_kernel","blocks_per_sm","x_rows_per_tile","rel_err","t_setup_device_init_s","t_setup_device_alloc_s","t_setup_h2d_A_s","bw_h2d_A_gbs","t_h2d_X_mean_s","t_h2d_X_std_s","bw_h2d_X_gbs","t_d2h_Y_mean_s","t_d2h_Y_std_s","bw_d2h_Y_gbs","t_launch_overhead_mean_s","t_launch_overhead_std_s","t_prep_alloc_buffers_s","t_prep_gen_A_s","t_prep_distrib_A_s","t_prep_gen_X_s","t_prep_distrib_X_s","t_prep_total_s","t_io_csv_raw_s","x_layout","t_prep_convert_X_s","group_timing","t_local_group_mean_s","t_local_group_std_s","gflops_local_group"
"cuda_warp_smem(blk128)","32","double","local","local","16384","16384","6","1","1","1","20","1.339500000e-07","2.247214653e-08","1.005610085e-02","9.534611490e-04","9.103700000e-05","4.124468246e-06","1.014727180e-02","9.934103500e-03","9.911021000e-03","9.541920574e-04","9.403434501e+00","9.508198233e-03","9.510065958e-03","9.492668640e-03","1.057048640e-05","1.111723393e-01","9.417027283e-03","9.419631958e-03","9.403807640e-03","8.943879733e-06","9.497561667e-02","6.390735673e-04","9.553837764e-04","6.118289420e-01","338.784004","342.063942","342.063942","8","128","-1.000e+00","1.342501550e-01","2.705720035e-04","4.759269120e-01","4.512213","2.330479994e-04","6.293247539e-06","3.374549","3.961407974e-04","9.556635306e-04","1.985234","9.884770407e-06","5.427743392e-07","2.398800279e-05","8.406387080e-01","0.000000000e+00","5.407159988e-04","0.000000000e+00","1.453032354e+00","2.664489948e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)","32","double","local","local","16384","16384","8","1","1","1","20","3.227000000e-07","1.202327130e-07","1.347695775e-02","9.901302005e-04","1.222173500e-04","5.133424006e-06","1.359949780e-02","1.338024050e-02","1.335245600e-02","9.904137438e-04","7.282722924e+00","1.282770324e-02","1.282617045e-02","1.281383763e-02","9.946223268e-06","7.753705460e-02","1.270516319e-02","1.270086432e-02","1.269452763e-02","9.520989600e-06","7.493795598e-02","7.717945573e-04","9.920869155e-04","6.153788340e-01","334.819664","338.048967","338.048967","8","96","-1.000e+00","1.402989330e-01","2.552360020e-04","4.734577910e-01","4.535745","3.104671985e-04","6.493284208e-06","3.377413","4.512272075e-04","9.927718202e-04","2.323832","1.010015128e-05","7.179348762e-07","2.744500671e-05","8.409926960e-01","0.000000000e+00","6.669130016e-04","0.000000000e+00","1.457065888e+00","1.821249971e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)","32","double","local","local","16384","16384","20","1","1","1","20","1.895000000e-07","5.395563481e-08","3.236410645e-02","1.516285354e-04","3.275391000e-04","1.268105260e-04","3.269183505e-02","3.261848650e-02","3.257513800e-02","2.530453854e-04","7.740323694e-01","3.155639109e-02","3.153157093e-02","3.150919641e-02","1.239752198e-04","3.928688152e-01","3.122866249e-02","3.122731209e-02","3.121430397e-02","1.087661558e-05","3.482895106e-02","1.135443959e-03","1.514609532e-04","6.198127350e-01","340.261287","343.832152","343.832152","6","64","-1.000e+00","1.417985640e-01","3.165540038e-04","4.763372670e-01","4.508326","6.195888042e-04","1.150347929e-04","4.230935","5.046704009e-04","1.098689594e-04","5.194361","1.118475399e-05","7.054386548e-07","2.725499508e-05","8.380727430e-01","0.000000000e+00","1.567517997e-03","0.000000000e+00","1.459480251e+00","1.900560019e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)","32","double","local","local","16384","16384","32","1","1","1","20","2.622000000e-07","2.564635195e-07","5.270970205e-02","4.570582587e-04","6.522531500e-04","3.036728491e-04","5.336221740e-02","5.298850300e-02","5.291684200e-02","6.288606391e-04","1.178475464e+00","5.135064138e-02","5.112921231e-02","5.109614221e-02","3.692772112e-04","7.191287222e-01","5.069812603e-02","5.059192085e-02","5.057958221e-02","2.519848267e-04","4.970298638e-01","2.011576020e-03","3.433228307e-04","6.133079740e-01","334.559973","338.865961","338.865961","4","32","-1.000e+00","1.367353750e-01","3.165860035e-04","4.748831730e-01","4.522130","1.058329609e-03","2.694780449e-04","3.963136","9.405760050e-04","2.617766624e-04","4.459293","1.267040601e-05","1.174581008e-06","2.315699385e-05","8.232633860e-01","0.000000000e+00","2.424644001e-03","0.000000000e+00","1.439019161e+00","2.097990000e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk192)","32","double","local","local","16384","16384","3","1","1","1","20","1.858500000e-07","9.410200233e-08","5.633373950e-03","9.860385866e-06","4.410830000e-05","4.166671144e-07","5.677668100e-03","5.677111000e-03","5.659046000e-03","9.934464263e-06","1.749743748e-01","5.462270148e-03","5.461124909e-03","5.446242903e-03","9.542249327e-06","1.746938373e-01","5.417975998e-03","5.416575909e-03","5.402175903e-03","9.440165079e-06","1.742378534e-01","2.153979521e-04","2.766874521e-06","6.076662720e-01","294.861421","297.272032","297.272032","5","384","-1.000e+00","1.355403640e-01","2.557070038e-04","4.705485040e-01","4.563788","1.187376000e-04","1.418162959e-06","3.311638","8.700640090e-05","2.053504692e-06","4.519392","9.653951178e-06","5.194325158e-07","3.092800034e-05","8.247916770e-01","0.000000000e+00","2.856130013e-04","0.000000000e+00","1.432774490e+00","1.835129951e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk192)","32","double","local","local","16384","16384","6","1","1","1","20","1.935000000e-07","4.221436525e-08","9.887327550e-03","2.573072876e-05","9.034525000e-05","1.718581082e-06","9.977866300e-03","9.980091000e-03","9.934395000e-03","2.501214101e-05","2.506762494e-01","9.543978701e-03","9.547209919e-03","9.511369115e-03","2.115832803e-05","2.216929511e-01","9.453439951e-03","9.458015919e-03","9.421152115e-03","2.182547541e-05","2.308733702e-01","4.338875991e-04","8.140592585e-06","6.130285560e-01","337.513900","340.746383","340.746383","5","224","-1.000e+00","1.353683160e-01","2.535730018e-04","4.760744280e-01","4.510815","2.309839986e-04","3.072645846e-06","3.404703","1.929344006e-04","7.023756896e-06","4.076163","9.969199842e-06","6.429916560e-07","2.850799501e-05","8.231194590e-01","0.000000000e+00","5.365219986e-04","0.000000000e+00","1.436713045e+00","1.831360059e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk192)","32","double","local","local","16384","16384","8","1","1","1","20","1.255500000e-07","1.039977226e-08","1.316746250e-02","3.119443128e-05","1.197368500e-04","1.603282432e-06","1.328732490e-02","1.327727450e-02","1.324702300e-02","3.107251061e-05","2.338507626e-01","1.273154892e-02","1.272642989e-02","1.270508398e-02","2.435404808e-05","1.912889645e-01","1.261168652e-02","1.260735989e-02","1.258304024e-02","2.469835249e-05","1.958370315e-01","5.557759842e-04","1.141737366e-05","6.178602430e-01","337.348372","340.554556","340.554556","5","160","-1.000e+00","1.431956970e-01","2.564289971e-04","4.730676950e-01","4.539485","3.097951993e-04","4.364907607e-06","3.384739","2.355408005e-04","9.157271583e-06","4.451781","1.043998432e-05","6.057850507e-07","2.747499821e-05","8.243962250e-01","0.000000000e+00","7.016429954e-04","0.000000000e+00","1.442985586e+00","1.866180028e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk192)","32","double","local","local","16384","16384","20","1","1","1","20","1.943500000e-07","4.054273247e-08","3.249507890e-02","1.666104050e-04","3.817069500e-04","1.345794648e-04","3.287698020e-02","3.279301900e-02","3.276209300e-02","2.737109342e-04","8.325306417e-01","3.171524528e-02","3.168182641e-02","3.166005945e-02","1.352481596e-04","4.264452579e-01","3.133334398e-02","3.133479977e-02","3.131718445e-02","9.933997904e-06","3.170423785e-02","1.161734917e-03","1.635343496e-04","6.136626490e-01","338.556998","342.683444","342.683444","5","64","-1.000e+00","1.346091590e-01","3.382089999e-04","4.773272950e-01","4.498975","6.281168044e-04","1.221813152e-04","4.173491","5.220560029e-04","1.166278044e-04","5.021377","1.156211003e-05","6.932689630e-07","5.538600089e-05","8.306835020e-01","0.000000000e+00","1.602910001e-03","0.000000000e+00","1.446004447e+00","1.872240027e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk192)","32","double","local","local","16384","16384","32","1","1","1","20","2.896000000e-07","2.531436871e-07","6.458044960e-02","7.085500299e-04","7.425811000e-04","3.591640922e-04","6.532332030e-02","6.488759450e-02","6.471051600e-02","9.169385998e-04","1.403692580e+00","6.324799689e-02","6.299636676e-02","6.284693115e-02","7.456218026e-04","1.178886035e+00","6.250512619e-02","6.239542389e-02","6.226188660e-02","6.489621145e-04","1.038254227e+00","2.075323410e-03","3.659830607e-04","6.218844590e-01","271.627087","274.855364","274.855364","3","64","-1.000e+00","1.426302600e-01","3.062399992e-04","4.776189670e-01","4.496228","1.028283197e-03","1.983550221e-04","4.078939","1.033625591e-03","3.323090543e-04","4.057856","1.341462233e-05","2.627852529e-06","2.499599941e-05","8.264564700e-01","0.000000000e+00","2.571231002e-03","0.000000000e+00","1.450937156e+00","2.046129957e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem","32","double","local","local","16384","16384","3","1","1","1","20","9.705000001e-08","1.227095416e-08","5.638070950e-03","1.313886822e-05","4.401545000e-05","4.623530749e-07","5.682183450e-03","5.680351500e-03","5.661123000e-03","1.306437970e-05","2.299183020e-01","5.466986092e-03","5.465225933e-03","5.448127942e-03","1.263651428e-05","2.311422430e-01","5.422873592e-03","5.421263933e-03","5.403327942e-03","1.275243325e-05","2.351600685e-01","2.151973576e-04","3.566162989e-06","6.100019920e-01","294.607067","297.003555","297.003555","4","512","-1.000e+00","1.341180310e-01","2.539960042e-04","4.742560320e-01","4.528110","1.195247993e-04","1.139737313e-06","3.289828","8.643520065e-05","3.638249886e-06","4.549258","9.237357689e-06","6.509101791e-07","2.982800652e-05","8.330899650e-01","0.000000000e+00","2.855969942e-04","0.000000000e+00","1.443407382e+00","1.806750006e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem","32","double","local","local","16384","16384","6","1","1","1","20","2.567500000e-07","1.709070231e-08","1.002699755e-02","1.141867549e-03","8.932330000e-05","1.979573561e-06","1.011657760e-02","9.855891500e-03","9.831341000e-03","1.142685774e-03","1.129518123e+01","9.443591300e-03","9.436927251e-03","9.418691117e-03","1.529629083e-05","1.619753582e-01","9.354011250e-03","9.345456123e-03","9.329440117e-03","1.540662617e-05","1.647060898e-01","6.729863005e-04","1.143851154e-03","6.172996410e-01","341.101745","344.368356","344.368356","4","288","-1.000e+00","1.379043520e-01","2.645839995e-04","4.777529970e-01","4.494966","2.325503998e-04","2.207807654e-06","3.381770","4.306351893e-04","1.143359482e-03","1.826214","9.800711442e-06","5.219372592e-07","5.840100494e-05","8.279716090e-01","0.000000000e+00","5.577240008e-04","0.000000000e+00","1.445887375e+00","1.817279990e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem","32","double","local","local","16384","16384","8","1","1","1","20","1.232500000e-07","1.461749134e-08","1.319778670e-02","7.860612251e-04","1.199169000e-04","2.119050977e-06","1.331782685e-02","1.313970900e-02","1.311751800e-02","7.874145543e-04","5.912485297e+00","1.258772656e-02","1.258490238e-02","1.257888035e-02","7.267742612e-06","5.773673725e-02","1.246768641e-02","1.246500778e-02","1.245980835e-02","6.991302961e-06","5.607538342e-02","7.301002853e-04","7.868157040e-04","6.143670520e-01","341.202780","344.487915","344.487915","4","224","-1.000e+00","1.410961580e-01","2.552219958e-04","4.716175160e-01","4.553443","3.078112021e-04","2.414674287e-06","3.406556","4.118576035e-04","7.868655698e-04","2.545967","1.043147968e-05","5.191030757e-07","2.539499837e-05","8.214549380e-01","0.000000000e+00","6.438069977e-04","0.000000000e+00","1.436491192e+00","1.842839993e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem","32","double","local","local","16384","16384","20","1","1","1","20","1.967500000e-07","8.352111303e-08","3.239763385e-02","2.983215813e-04","3.279141000e-04","1.297551657e-04","3.272574470e-02","3.258369150e-02","3.254876900e-02","3.629822260e-04","1.109164144e+00","3.152633654e-02","3.149697257e-02","3.146152908e-02","1.331539266e-04","4.223577530e-01","3.119822569e-02","3.119638348e-02","3.116073608e-02","1.711023309e-05","5.484360959e-02","1.199408161e-03","3.003260540e-04","6.076043330e-01","340.585663","344.167593","344.167593","3","128","-1.000e+00","1.344571070e-01","3.047370046e-04","4.714606460e-01","4.554958","6.193839997e-04","1.154056908e-04","4.232334","5.691152051e-04","2.877985603e-04","4.606168","1.090895625e-05","5.973512568e-07","2.459999814e-05","8.149514320e-01","0.000000000e+00","1.595075002e-03","0.000000000e+00","1.424175440e+00","1.926120021e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem","32","double","local","local","16384","16384","32","1","1","1","20","2.900499999e-07","2.347822002e-07","5.311829690e-02","3.092518385e-04","6.673781500e-04","2.929072282e-04","5.378596510e-02","5.357014750e-02","5.352287300e-02","5.703638137e-04","1.060432424e+00","5.183059011e-02","5.173406263e-02","5.171838867e-02","2.944284586e-04","5.680592445e-01","5.116292191e-02","5.116216087e-02","5.115465546e-02","6.370715389e-06","1.245182087e-02","1.955374994e-03","3.063941928e-04","6.095378150e-01","331.461964","335.787491","335.787491","2","96","-1.000e+00","1.341685040e-01","3.023559984e-04","4.736966800e-01","4.533457","1.009420800e-03","1.871310280e-04","4.155159","9.334063977e-04","2.602035487e-04","4.493545","1.254779657e-05","7.674792371e-07","5.328100087e-05","8.142009230e-01","0.000000000e+00","2.421526005e-03","0.000000000e+00","1.426213545e+00","2.003979971e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk384)","32","double","local","local","16384","16384","3","1","1","1","20","1.180500001e-07","1.028783133e-08","5.648615650e-03","9.351663293e-06","4.434710000e-05","7.484221930e-07","5.693080800e-03","5.694698500e-03","5.678634000e-03","9.531075990e-06","1.674150838e-01","5.476605953e-03","5.478556535e-03","5.464199109e-03","9.171514613e-06","1.674671264e-01","5.432140803e-03","5.434400082e-03","5.419392109e-03","8.956703448e-06","1.648834920e-01","2.164748467e-04","2.942076987e-06","6.130977890e-01","294.089578","296.496868","296.496868","2","1024","-1.000e+00","1.372461280e-01","2.641229948e-04","4.742474510e-01","4.528192","1.189615995e-04","9.112380844e-07","3.305403","8.824639954e-05","2.514460405e-06","4.455887","9.266847657e-06","7.235161534e-07","7.078899944e-05","8.151566860e-01","0.000000000e+00","2.924510045e-04","0.000000000e+00","1.428617715e+00","1.918790003e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk384)","32","double","local","local","16384","16384","6","1","1","1","20","1.252000000e-07","1.174106602e-08","1.054231135e-02","2.022328274e-05","9.051535000e-05","2.814784170e-06","1.063295190e-02","1.062732550e-02","1.060200600e-02","2.029222408e-05","1.908428089e-01","1.021943255e-02","1.021603716e-02","1.019207434e-02","1.943527488e-05","1.901795896e-01","1.012879200e-02","1.012497616e-02","1.010179234e-02","1.952907698e-05","1.928075626e-01","4.135193502e-04","4.093155855e-06","6.191672660e-01","315.205904","318.026619","318.026619","2","576","-1.000e+00","1.412859490e-01","2.625730049e-04","4.762769500e-01","4.508897","2.325648002e-04","1.855079225e-06","3.381561","1.711536005e-04","2.649416522e-06","4.594890","9.800949437e-06","6.079511187e-07","5.667700316e-05","8.142073890e-01","0.000000000e+00","5.371599982e-04","0.000000000e+00","1.433968492e+00","1.876789975e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk384)","32","double","local","local","16384","16384","8","1","1","1","20","1.427000000e-07","4.039815005e-08","1.491515000e-02","2.452033920e-05","1.198659500e-04","7.990911597e-07","1.503515865e-02","1.502746850e-02","1.500220300e-02","2.437736783e-05","1.621357539e-01","1.448428072e-02","1.448062463e-02","1.445633035e-02","1.846670064e-05","1.274947717e-01","1.436427207e-02","1.436000013e-02","1.433635235e-02","1.864170955e-05","1.297783101e-01","5.508779301e-04","8.661126557e-06","6.117838800e-01","296.526102","299.003477","299.003477","2","448","-1.000e+00","1.347205870e-01","2.688710010e-04","4.754927170e-01","4.516333","3.077072009e-04","3.907912904e-06","3.407707","2.328159995e-04","8.280597405e-06","4.503883","1.035472959e-05","6.868408557e-07","2.923399734e-05","8.243207800e-01","0.000000000e+00","6.396859972e-04","0.000000000e+00","1.436773580e+00","1.872899957e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk384)","32","double","local","local","16384","16384","20","1","1","1","20","1.953000000e-07","7.662080248e-08","3.317612740e-02","1.595790296e-04","3.483997500e-04","1.420914948e-04","3.352472245e-02","3.344604950e-02","3.340815400e-02","2.780604104e-04","8.294189781e-01","3.238267689e-02","3.234847287e-02","3.233625765e-02","1.406049248e-04","4.341979672e-01","3.203408184e-02","3.203656006e-02","3.201798248e-02","8.285248775e-06","2.586385593e-02","1.142045559e-03","1.623787866e-04","6.195690120e-01","331.579081","335.187326","335.187326","2","192","-1.000e+00","1.413231430e-01","3.054959961e-04","4.765719920e-01","4.506105","6.217759967e-04","1.177865475e-04","4.216052","5.091312021e-04","1.206515567e-04","5.148850","1.113836070e-05","7.483594614e-07","2.492999920e-05","8.251838060e-01","0.000000000e+00","1.640650000e-03","0.000000000e+00","1.446418398e+00","1.895989990e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk384)","32","double","local","local","16384","16384","32","1","1","1","20","6.824000001e-07","7.817950601e-07","6.525002695e-02","3.449444476e-04","7.113105500e-04","3.423455556e-04","6.596201990e-02","6.564666050e-02","6.559766900e-02","6.513131069e-04","9.874062496e-01","6.391464283e-02","6.377439274e-02","6.374719901e-02","3.432992016e-04","5.371213644e-01","6.320264988e-02","6.320243073e-02","6.319299316e-02","5.950257097e-06","9.414569022e-03","2.047377071e-03","3.424849083e-04","6.114877990e-01","268.793948","271.821976","271.821976","1","160","-1.000e+00","1.364807590e-01","3.010580040e-04","4.733277890e-01","4.536990","1.029553592e-03","1.851986634e-04","4.073905","1.004995203e-03","3.085545528e-04","4.173457","1.282827532e-05","7.871960965e-07","3.008300700e-05","8.276543950e-01","0.000000000e+00","2.448628002e-03","0.000000000e+00","1.441620905e+00","2.377710043e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk512)","32","double","local","local","16384","16384","3","1","1","1","20","1.516000000e-07","5.030684794e-08","5.680580850e-03","8.389908144e-06","4.520630000e-05","2.355251402e-06","5.725938750e-03","5.725048500e-03","5.710124000e-03","8.842661346e-06","1.544316440e-01","5.509586792e-03","5.508079555e-03","5.494781837e-03","8.291283178e-06","1.504882941e-01","5.464228892e-03","5.463664055e-03","5.449247837e-03","7.704008134e-06","1.409898503e-01","2.163519577e-04","3.311149394e-06","6.193873660e-01","292.329134","294.755723","294.755723","2","1024","-1.000e+00","1.395123690e-01","2.719740005e-04","4.782245560e-01","4.490534","1.202240005e-04","2.230911733e-06","3.270695","8.651839979e-05","2.666239454e-06","4.544883","9.609557370e-06","8.787795073e-07","3.047400241e-05","8.286918840e-01","0.000000000e+00","2.907999951e-04","0.000000000e+00","1.448400524e+00","1.852849964e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk512)","32","double","local","local","16384","16384","6","1","1","1","20","1.375500000e-07","1.904972721e-08","1.070943375e-02","6.739685285e-04","9.024105000e-05","2.293534355e-06","1.079981235e-02","1.064639550e-02","1.063074400e-02","6.741878349e-04","6.242588417e+00","1.023425224e-02","1.023267752e-02","1.022439712e-02","7.499517901e-06","7.327861111e-02","1.014387364e-02","1.014299202e-02","1.013337612e-02","7.288971297e-06","7.185589601e-02","5.655601061e-04","6.747159634e-04","6.074519850e-01","314.749470","317.553785","317.553785","2","576","-1.000e+00","1.351395670e-01","2.801989976e-04","4.706556810e-01","4.562749","2.328303993e-04","1.621497273e-06","3.377703","3.227440022e-04","6.747555756e-04","2.436705","9.985704657e-06","6.025717157e-07","3.123300121e-05","8.290167980e-01","0.000000000e+00","5.400220034e-04","0.000000000e+00","1.437040038e+00","1.914570021e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk512)","32","double","local","local","16384","16384","8","1","1","1","20","2.235499999e-07","6.246049278e-08","1.431170640e-02","1.966896297e-05","1.205499000e-04","2.416629469e-06","1.443247985e-02","1.442916650e-02","1.440735700e-02","2.033483186e-05","1.408963121e-01","1.387964396e-02","1.387644378e-02","1.386133928e-02","1.314063940e-05","9.467562311e-02","1.375887051e-02","1.375526428e-02","1.374262428e-02","1.236394517e-05","8.986162902e-02","5.528358937e-04","8.633382850e-06","6.142886550e-01","309.443622","312.159875","312.159875","2","448","-1.000e+00","1.401531850e-01","2.611839955e-04","4.725016770e-01","4.544923","3.072752044e-04","2.533937156e-06","3.412498","2.352367990e-04","7.779333124e-06","4.457534","1.032389038e-05","5.295881951e-07","2.571799996e-05","8.176254980e-01","0.000000000e+00","6.356739977e-04","0.000000000e+00","1.432575545e+00","1.840280020e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk512)","32","double","local","local","16384","16384","20","1","1","1","20","2.021500000e-07","5.733307582e-08","3.534384980e-02","1.564444445e-04","3.315299000e-04","1.296143852e-04","3.567558185e-02","3.559995400e-02","3.555538900e-02","2.621000533e-04","7.346763239e-01","3.454355456e-02","3.451179420e-02","3.449759001e-02","1.281411481e-04","3.709553048e-01","3.421182251e-02","3.420615959e-02","3.419814301e-02","1.140831632e-05","3.334612274e-02","1.132027290e-03","1.593469903e-04","6.130623190e-01","310.837098","313.851103","313.851103","1","288","-1.000e+00","1.408923770e-01","3.038430004e-04","4.705444410e-01","4.563827","6.197616011e-04","1.176197180e-04","4.229755","5.012096003e-04","1.153879227e-04","5.230227","1.105608887e-05","7.916862627e-07","2.592199598e-05","8.153702770e-01","0.000000000e+00","1.605728001e-03","0.000000000e+00","1.430064246e+00","2.019429958e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk512)","32","double","local","local","16384","16384","32","1","1","1","20","2.571999999e-07","2.151253245e-07","5.728653695e-02","3.453620783e-04","6.246637500e-04","2.867463844e-04","5.791145790e-02","5.765514250e-02","5.759204000e-02","5.751649191e-04","9.931798300e-01","5.590124904e-02","5.580896202e-02","5.578206196e-02","2.850167655e-04","5.098575978e-01","5.527632809e-02","5.527544022e-02","5.526924896e-02","4.329208425e-06","7.831939231e-03","2.010208863e-03","3.452167133e-04","6.116216190e-01","307.325319","310.799754","310.799754","1","160","-1.000e+00","1.382855690e-01","3.029939980e-04","4.716581150e-01","4.553051","1.055696002e-03","2.629185641e-04","3.973023","9.421023935e-04","2.559737321e-04","4.452068","1.241046799e-05","9.446040183e-07","4.805299977e-05","8.151095110e-01","0.000000000e+00","2.412677000e-03","0.000000000e+00","1.429191860e+00","2.008919982e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk1024)","32","double","local","local","16384","16384","3","1","1","1","20","1.078500000e-07","2.222912976e-08","5.677361000e-03","7.128465665e-06","4.456740000e-05","1.084471319e-06","5.722036250e-03","5.720046000e-03","5.710900000e-03","7.009972887e-06","1.225083621e-01","5.501332850e-03","5.500468986e-03","5.495394083e-03","3.244848256e-06","5.898294731e-02","5.456657600e-03","5.456127882e-03","5.450272083e-03","3.168122886e-06","5.805977061e-02","2.207033996e-04","5.537238786e-06","6.143966380e-01","292.767731","295.164706","295.164706","1","1536","-1.000e+00","1.358123880e-01","2.664819986e-04","4.769703900e-01","4.502342","1.198704001e-04","2.795994695e-06","3.280343","9.155680016e-05","4.875667620e-06","4.294777","9.276199384e-06","5.315835541e-07","7.904700033e-05","8.134024390e-01","0.000000000e+00","2.865130009e-04","0.000000000e+00","1.428164637e+00","1.852649948e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk1024)","32","double","local","local","16384","16384","6","1","1","1","20","1.552500000e-07","6.662927677e-08","1.019113200e-02","1.100159796e-05","9.046120000e-05","2.695899627e-06","1.028174845e-02","1.028162750e-02","1.026265500e-02","1.127988298e-05","1.097078288e-01","9.864400420e-03","9.864294075e-03","9.856727272e-03","4.830104371e-06","4.896500715e-02","9.773783970e-03","9.772624016e-03","9.767616272e-03","4.371065137e-06","4.472234245e-02","4.173480301e-04","8.747494128e-06","6.164104610e-01","326.550559","329.578133","329.578133","1","864","-1.000e+00","1.409474350e-01","2.661039980e-04","4.738286120e-01","4.532195","2.345007993e-04","5.499320799e-06","3.353643","1.731583998e-04","7.351564676e-06","4.541691","9.688831032e-06","6.195390664e-07","2.648900409e-05","8.332798240e-01","0.000000000e+00","5.401759990e-04","0.000000000e+00","1.450256950e+00","1.860029952e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk1024)","32","double","local","local","16384","16384","8","1","1","1","20","1.388500000e-07","1.941316701e-08","1.351444305e-02","1.195184657e-05","1.207913000e-04","2.781741902e-06","1.363537320e-02","1.363493450e-02","1.361810300e-02","1.288419129e-05","9.449093250e-02","1.309238935e-02","1.309157903e-02","1.307820877e-02","9.658752527e-06","7.377379537e-02","1.297145920e-02","1.297103977e-02","1.295839977e-02","7.786649786e-06","6.002909670e-02","5.429838520e-04","8.656531036e-06","6.169089520e-01","328.050685","331.109032","331.109032","1","672","-1.000e+00","1.393496980e-01","2.580169967e-04","4.759422370e-01","4.512068","3.103567988e-04","8.041742606e-06","3.378615","2.221007995e-04","7.550982000e-06","4.721172","1.052625370e-05","5.715610588e-07","2.657200093e-05","8.295994840e-01","0.000000000e+00","6.704990010e-04","0.000000000e+00","1.447205507e+00","1.805419961e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
